約定日,受渡日,銘柄コード,銘柄名,市場名称,口座区分,取引区分,売買区分,信用区分,弁済期限,数量［株］,単価［円］,手数料［円］,税金等［円］,諸費用［円］,税区分,受渡金額［円］,建約定日,建単価［円］,建手数料［円］,建手数料消費税［円］,金利（支払）〔円〕,金利（受取）〔円〕,逆日歩／特別空売り料（支払）〔円〕,逆日歩（受取）〔円〕,貸株料,事務管理費〔円〕（税抜）,名義書換料〔円〕（税抜）
"2020/11/6","2020/11/10","1326","ＳＰＤＲゴールド・シェア","東証","特定","現物","買付","-","-","1","18,900.0","0","0","0","-","18,900","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/11/11","2020/11/13","4824","メディアシーク","東証","一般","現物","買付","-","-","100","609.0","90","9","0","-","60,999","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/11/16","2020/11/18","1615","ＮＦ銀行業","東証","一般","現物","買付","-","-","100","129.0","0","0","0","-","12,900","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/11/19","2020/11/24","1678","ＮＦインド株","東証","特定","現物","買付","-","-","100","163.0","0","0","0","-","16,300","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/11/26","2020/11/30","1674","ＷＴ白金上場投信","東証","特定","現物","買付","-","-","1","9,450.0","50","5","0","-","9,505","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/11/27","2020/12/1","1674","ＷＴ白金上場投信","東証","特定","現物","買付","-","-","1","9,360.0","50","5","0","-","9,415","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/11/30","2020/12/2","1309","ＮＦ中国株上証５０","東証","特定","現物","買付","-","-","1","42,250.0","0","0","0","-","42,250","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/12/3","2020/12/7","1309","ＮＦ中国株上証５０","東証","特定","現物","売付","-","-","1","42,700.0","0","0","0","源徴あり","42,700","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/12/3","2020/12/7","1674","ＷＴ白金上場投信","東証","特定","現物","売付","-","-","2","9,870.0","50","5","0","源徴あり","19,685","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/12/3","2020/12/7","2516","東証マザーズＥＴＦ","東証","特定","現物","買付","-","-","20","960.0","50","5","0","-","19,255","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/12/4","2020/12/8","2516","東証マザーズＥＴＦ","東証","特定","現物","買付","-","-","20","925.0","50","5","0","-","18,555","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/12/7","2020/12/9","1326","ＳＰＤＲゴールド・シェア","東証","特定","現物","買付","-","-","1","17,960.0","0","0","0","-","17,960","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/12/8","2020/12/10","1542","純銀上場信託","東証","特定","現物","買付","-","-","4","7,690.0","0","0","0","-","30,760","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/12/8","2020/12/10","1628","ＮＦ運輸物流Ｔ１７","東証","特定","現物","買付","-","-","2","14,080.0","0","0","0","-","28,160","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/12/8","2020/12/10","4824","メディアシーク","東証","一般","現物","売付","-","-","100","672.0","90","9","0","申告","67,101","-","0.0","0","0","0","0","0","0","0","0","0"
"2020/12/21","2020/12/23","1543","純パラジウム上場信","東証","特定","現物","買付","-","-","1","68,500.0","0","0","0","-","68,500","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/1/4","2021/1/6","1543","純パラジウム上場信","東証","特定","現物","売付","-","-","1","69,600.0","0","0","0","源徴あり","69,600","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/1/4","2021/1/6","1628","ＮＦ運輸物流Ｔ１７","東証","特定","現物","売付","-","-","1","13,930.0","0","0","0","源徴あり","13,930","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/1/5","2021/1/7","1674","ＷＴ白金上場投信","東証","特定","現物","買付","-","-","2","10,420.0","50","5","0","-","20,895","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/1/8","2021/1/13","1542","純銀上場信託","東証","特定","現物","売付","-","-","2","8,730.0","0","0","0","源徴あり","17,460","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/1/8","2021/1/13","1628","ＮＦ運輸物流Ｔ１７","東証","特定","現物","買付","-","-","1","14,130.0","0","0","0","-","14,130","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/1/8","2021/1/13","1693","ＷＴ銅上場投信","東証","特定","現物","買付","-","-","10","3,475.0","50","5","0","-","34,805","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/5/13","2021/5/17","2516","東証マザーズＥＴＦ","東証","特定","現物","売付","-","-","20","828.0","50","5","0","源徴あり","16,505","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/6/8","2021/6/10","1326","ＳＰＤＲゴールド・シェア","東証","特定","現物","売付","-","-","1","19,420.0","0","0","0","源徴あり","19,420","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/6/11","2021/6/15","1678","ＮＦインド株","東証","特定","現物","売付","-","-","100","210.0","0","0","0","源徴あり","21,000","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/6/16","2021/6/18","1628","ＮＦ運輸物流Ｔ１７","東証","特定","現物","売付","-","-","1","16,090.0","0","0","0","源徴あり","16,090","-","0.0","0","0","0","0","0","0","0","0","0"
"2021/12/28","2021/12/30","2516","東証マザーズＥＴＦ","東証","特定","現物","買付","-","-","10","765.0","50","5","0","-","7,705","-","0.0","0","0","0","0","0","0","0","0","0"
"2025/8/18","2025/8/20","4755","楽天グループ","東証","NISA成長投資枠","現物","買付","-","-","100","867.0","0","0","0","-","86,700","-","0.0","0","0","0","0","0","0","0","0","0"
"2025/8/19","2025/8/21","1543","純パラジウム上場信","東証","NISA成長投資枠","現物","買付","-","-","1","47,500.0","0","0","0","-","47,500","-","0.0","0","0","0","0","0","0","0","0","0"
"2025/8/19","2025/8/21","1615","ＮＦ銀行業","東証","一般","現物","売付","-","-","100","457.8","50","5","0","申告","45,725","-","0.0","0","0","0","0","0","0","0","0","0"
"2025/8/27","2025/8/29","1543","純パラジウム上場信","東証","NISA成長投資枠","現物","売付","-","-","1","46,340.0","0","0","0","NISA","46,340","-","0.0","0","0","0","0","0","0","0","0","0"
"2025/8/27","2025/8/29","1628","ＮＦ運輸物流Ｔ１７","東証","特定","現物","売付","-","-","1","20,390.0","50","5","0","源徴あり","20,335","-","0.0","0","0","0","0","0","0","0","0","0"
"2025/12/12","2025/12/16","1693","ＷＴ銅上場投信","東証","一般","現物","買付","-","-","10","7,442.0","90","9","0","-","74,519","-","0.0","0","0","0","0","0","0","0","0","0"
